OK,PK,LN,SK,DT
407377,374538,225404,297836,288670
225749,621433,229253,813106,559227
92106,456347,805059,299787,904570
928121,817747,540089,826113,454622
918046,814701,467740,345555,84564
373700,129976,241645,491731,182350
684298,301066,552018,489400,278592
497889,400612,347738,111118,810592
639735,395402,335988,565163,429225
406759,79074,302628,79646,311163
134126,317885,225089,608366,823265
41566,980892,276924,698180,155650
782854,97223,722410,100041,245853
382869,605650,345677,937220,353170
472752,609887,762397,981399,66605
425719,593770,765108,832472,615629
621699,578479,246851,947939,724760
54795,156714,891774,193542,847829
396960,493296,144637,665149,658964
442237,785848,610689,56934,582259
36859,887523,352425,884594,648915
993227,134418,481015,694393,511600
947708,795096,349978,304589,59712
181562,976910,771488,821802,569287
40779,390106,24941,212687,519834
61207,459410,771600,939743,786632
815839,947389,564776,587777,90370
398402,774138,717820,721401,153435
557503,830196,900830,528680,252247
86127,305045,916463,529819,884244
853011,647916,912812,10506,164986
848483,470333,475876,759087,132233
939319,364669,835343,101693,743190
432718,497764,973498,247665,506439
610359,177281,354023,659965,164305
994271,835291,785975,713761,886085
258409,793629,890733,538301,457120
868667,897420,153253,702494,256747
214569,369177,530618,649739,888936
384960,712372,519101,667712,706372
529746,470148,147853,647512,798124
904301,858002,313400,680184,127531
972741,818742,587949,824248,652432
828585,398661,512409,394265,726775
952473,225605,691445,312037,685598
213471,466773,545573,776451,132647
203874,146536,389566,191867,202750
422759,296306,280581,424582,533267
642556,640589,625030,376420,569474
896390,219252,351629,598076,902290
130235,491410,262685,548633,563532
215590,608896,361062,252406,837132
634459,305581,418215,480889,102174
450802,189695,195035,644237,32288
359829,534503,133919,987942,576252
132911,283337,824162,576250,218208
43006,795426,264869,721093,11383
771962,621788,438503,432020,207988
320831,264257,115698,936506,844880
45018,108653,784997,569256,716270
857271,829218,90999,445035,356349
524868,368031,201869,452752,892641
182176,112500,685194,969677,110465
51147,679868,421336,834712,837427
357922,874187,631161,910984,191391
604911,387102,346760,341335,837621
164992,652587,986925,102410,26703
103063,932027,170537,932825,546417
259865,892975,776334,395192,913245
356081,827138,94254,621782,655908
763992,396759,553206,931681,282116
688928,684913,314252,189533,291819
725898,831290,591587,184875,232870
316294,401787,767613,815245,611511
660383,459918,951406,303007,121021
684713,528053,640177,824061,377226
379038,59039,441189,675353,243405
463537,112251,466696,474640,895303
956141,788588,432251,490820,904843
159592,691767,306713,106243,773968
17461,332850,576424,276104,530288
676751,591282,979768,251326,433785
840975,353706,413096,830306,500093
851780,515493,310237,369732,470576
605403,905138,114536,799197,726287
99365,187530,364385,713166,741783
412688,670906,422399,844724,679678
903114,621810,624468,492825,13153
155608,525607,652145,495795,444733
161228,209739,760391,297694,586718
209171,858028,594891,914874,153816
960420,437856,261860,85465,811193
417806,870681,658884,485048,551193
777410,618820,287648,955431,512702
680475,617543,442708,297099,461617
554592,114007,106528,363138,701887
893065,704447,971566,914125,742036
434133,230797,454534,857711,857995
706761,612940,974804,994742,292903
697699,512900,942478,105790,35237
350977,447313,689210,931614,949197
449765,333820,22464,653467,850879
967035,495096,259622,706001,37780
420520,239511,974926,352696,833951
874609,485631,314714,535210,467486
233606,66920,40459,295396,888262
289106,685072,951502,62984,719125
567768,435858,942784,371203,856420
824209,506651,795423,784724,358780
864627,58468,523513,501427,440321
766745,682614,637839,690046,325513
729401,802300,221590,53724,427015
895943,317776,767009,208426,902895
301315,186264,510026,973859,837606
608524,933660,654097,961327,72086
436923,538192,736032,596713,362469
959573,333713,772578,758868,720705
135288,580322,226803,538495,696957
386549,335549,918015,304048,809390
819243,707342,426732,742310,132946
237787,906075,737057,725514,937688
976013,145164,86722,995528,814144
906830,391822,926889,711958,698508
74054,577034,790822,774061,432991
456911,654623,244275,110047,937788
317597,213706,659435,627598,346811
667396,451689,906037,661477,696270
961003,136963,795812,804957,777983
986401,55388,142234,628107,966282
327696,913720,609664,930236,61799
759187,873404,465094,743328,798899
73829,489231,172186,841857,293757
323671,652064,685329,30383,571916
229792,464101,536293,43901,525059
333351,334471,788752,798522,462931
845268,857129,305088,579117,550435
488371,248658,19209,842417,618261
805327,740872,414754,363494,243455
943823,611679,804244,471541,18349
943831,920796,990448,584771,806674
617793,589006,611726,397425,608102
186955,958899,56733,723992,806681
836000,79368,260481,529664,868509
717119,271059,93023,661989,967239
690850,557638,229139,999360,373278
333296,343064,635455,701401,335801
735598,430025,623002,865581,517913
680590,609720,732486,736892,204892
739758,612629,913063,918755,151119
386288,182813,402207,764185,240036
445245,938221,733037,884585,701725
369173,389378,345795,99815,436335
137658,500676,412422,148974,885415
486270,639356,805322,725521,868353
411254,230163,481838,892331,890528
771499,715479,681751,686106,602989
468872,684631,896995,414420,650305
934075,964400,857384,689986,819268
660762,319977,748987,262796,193255
570174,134017,899701,985513,317530
370874,776773,937511,679117,616843
756160,99327,993274,614249,807934
560179,648981,873164,995750,292916
545628,194373,367347,640531,486543
808774,768806,470798,699077,482116
670861,900629,403246,616120,262430
98331,262914,28594,635197,186753
561999,741206,468730,260626,795542
540658,720330,463719,383002,855523
794788,769785,861368,39209,142609
340660,80648,577660,227252,516384
905451,528600,674219,912247,692633
108986,684537,16956,735923,969260
813674,377861,837485,333165,136684
489430,405504,275049,806798,642453
889449,595358,246054,125821,770026
535756,856781,557283,726531,101342
269736,719549,437706,778841,551844
939980,340118,403898,42065,267330
493428,667260,372713,683754,572217
705542,959245,182162,968181,696867
427086,592163,758625,665291,792160
153582,783532,40494,638857,129246
178669,480184,52530,547239,495249
630283,629492,411777,224257,371988
455899,344941,929865,56156,385917
431788,952864,434538,666848,323124
724167,977616,737697,64946,197373
402147,727490,24954,951089,877157
753459,728970,562596,318240,217721
548303,703408,423955,867604,74375
407009,958271,544208,214438,69673
974943,492193,428672,59511,229888
867797,274150,271714,593260,209313
798151,286488,18938,673697,937240
963563,389132,354441,420952,366373
677437,576391,877293,709066,856143
