OK,PK,LN,SK,DT
897435,801470,476853,939092,302637
283575,819984,370254,254028,366517
420411,402453,186272,909074,209232
803770,387066,196883,312084,858146
758072,824814,532036,191901,362253
811050,950253,782853,165660,188595
154446,903050,418403,588317,214764
707522,254729,271383,979125,592948
662179,232017,665638,472444,469794
84308,710708,870076,637159,212930
528401,271066,255743,439818,698155
915108,963352,898321,128521,523963
135588,252490,199883,21462,318252
927427,257774,822059,334435,986838
503464,48143,43638,265574,179657
786182,429287,116486,426604,48420
786226,255073,818082,855162,347343
624128,875162,657014,945689,780731
415942,213748,836868,759212,987391
199960,511804,490809,261320,874879
197126,935449,500898,960912,843935
321536,925827,404972,371414,362215
776792,443756,56153,84980,78415
351083,733401,684997,713710,652349
172334,852202,250706,747072,564513
332424,236891,82051,923815,497241
256920,128828,301922,792864,761730
410016,316439,292679,608601,763021
516437,138377,753077,122833,104314
915793,603854,456719,663941,999077
347078,909005,423569,91474,218414
546456,581616,947424,949338,323933
427030,260973,825835,468821,848810
521526,877637,516344,524840,671179
219732,684715,77299,851326,245099
629276,552683,454730,840797,823105
433809,618925,322940,326973,614134
285561,300748,647606,642430,79896
88726,84002,503550,862714,979721
809538,229651,336881,302524,501522
441705,84115,222480,937121,289841
25272,254017,572744,930201,854854
956053,642438,910621,209790,110363
638052,147532,60337,403724,161377
742460,350318,69650,101869,230817
252443,956099,855965,532130,555353
86020,605832,881593,811567,497849
829290,331581,879086,836848,851725
354866,456421,838016,208863,516083
205287,560399,362834,388933,329538
908794,196334,487001,345089,120344
468061,872887,472958,427653,49903
411676,51275,922347,307796,314230
124205,106240,353906,349135,202824
912977,134850,337148,225423,559777
465828,904690,619043,114357,11426
345659,99456,98734,853999,68580
171065,272424,677787,153769,157353
284991,174189,122818,184308,826675
832221,690379,869764,335511,379597
221441,205146,446223,150579,378279
749038,12293,392724,661677,498542
795119,280189,855097,500523,69963
47691,235959,972200,422644,392856
483334,791057,989099,84355,938631
371735,14024,985505,482406,704312
636926,777508,783810,123473,512795
361050,416119,98544,266525,314419
262841,413683,93488,548454,999115
887973,800682,392523,625346,382692
894203,10388,407490,802553,249325
393512,97451,929540,41015,19019
215132,705062,69122,63596,881727
895331,213404,502090,931260,907671
911801,444593,278447,322104,397222
823685,169565,252090,860068,270069
356017,434746,650214,498793,884840
816496,577682,579968,292391,931355
329719,80685,384708,133705,902127
116249,246642,175778,954790,570831
808362,394718,707761,843436,646207
763507,783184,210302,70432,181784
599144,50955,745367,228244,863561
381393,70567,336042,371781,935759
226134,819313,792517,626215,944436
501452,719564,893709,506470,806828
343905,856452,94765,657057,791932
120776,109221,961297,629732,722399
833946,310006,170603,476579,497423
751714,339035,906279,899430,782613
454053,578312,429751,637699,932903
599478,804276,633764,359853,526776
97529,53190,625130,408973,337467
661010,829391,276340,177443,847569
311373,118010,863967,109671,379811
288206,690583,450477,776967,817207
952875,354103,744502,547361,218457
896742,110832,33756,755729,397815
904221,368689,178277,117061,510753
225306,985691,711930,615410,229935
458696,288400,936103,56405,69355
792769,44777,763670,193853,177018
373766,253882,258526,499479,594694
884634,203611,818156,593468,513942
829574,70618,207230,119281,349694
892067,32214,942928,255298,584778
319319,287002,755772,530366,876398
415319,598198,851713,236224,695277
886633,318789,519301,11642,883568
680222,156476,989007,253704,964736
701884,139960,983718,311418,434378
308778,674065,170504,297637,568837
528949,963651,612962,721723,92233
813489,798687,729396,873607,305107
841876,592044,713573,456965,83629
213352,978339,104073,484622,369159
245606,78275,969884,248331,211147
323896,309669,91724,426103,223708
610595,971380,58785,631245,440913
468661,466732,13439,11786,333576
500643,685883,432419,784472,58102
659652,140989,90909,809856,652048
609691,583181,512792,614170,336168
372116,112674,235225,45192,923304
703868,689245,709936,515952,817313
199633,863345,798611,544704,570779
719723,118548,502151,999219,842985
204766,858293,71532,39608,712938
482769,862960,577461,558547,848891
128449,207968,363098,363064,944166
485295,698089,969714,860212,926640
240304,320377,641553,638428,755694
500430,695398,209913,635693,597862
407393,187772,245845,683727,691634
155361,397386,388005,59185,816521
808196,544188,278182,336954,472561
777460,944636,788734,207246,781281
991783,769879,100144,383302,764239
710917,765364,839119,671600,253878
40648,305618,249545,646692,126894
393172,165839,696827,303797,682265
514069,70541,505062,385629,248154
933692,213400,451085,624544,500868
789645,780076,691301,576258,384773
715708,226326,895504,374497,393797
231085,172796,732335,146977,833988
37348,460653,821220,426043,870800
353530,600354,180924,393457,13867
784700,752766,221013,795424,273506
299617,136141,932513,210320,80168
901498,316258,500152,720024,476549
852248,242926,633914,35580,602602
19260,268918,453707,698676,669851
10409,297491,543942,928982,449436
897642,579468,786001,350341,542561
613280,380567,378075,667069,224904
268040,950457,416195,632908,174027
660529,285720,929752,464167,144663
238008,654538,658037,636898,456385
451245,225053,72879,433352,837742
956858,648277,471684,99268,615051
841114,253386,658354,721874,672793
820441,61654,816983,61636,336477
353197,460542,898731,354971,793981
334653,719908,810547,812724,774184
248556,724442,660229,565125,211956
672446,774209,411726,648998,726124
223194,653396,756341,708024,550519
723196,658215,967548,323125,801452
683867,554007,70982,475776,397685
447422,170189,309169,823167,888984
909799,279664,504883,744960,526934
871581,878137,679429,163429,138473
311133,129053,490356,497170,464186
350974,559534,150129,440949,33074
203176,397604,788957,140946,51781
631723,716877,605339,205958,733662
890418,743847,76151,172615,349627
549070,400285,775377,827777,894426
295423,836824,979976,907958,963050
435058,779585,118653,696143,95041
322604,201363,613808,618886,437548
313349,607400,549261,75016,24856
547374,913928,306102,525811,22083
187283,724217,390329,786550,940154
814318,56221,111614,420972,967714
617766,610225,700692,93335,323743
549686,66461,443182,780556,991236
712739,881702,350627,705326,902894
734920,456870,980001,376226,827226
606731,591835,647565,891749,69421
69368,642084,43927,342618,223639
362467,906997,813935,379275,60817
231653,624777,316168,974144,141345
850703,865882,561944,50031,350947
738278,346497,224917,631859,430546
158424,831771,533247,524091,490309
127602,928903,158670,667506,510728
263150,290782,105418,693375,507560
337313,682646,95835,185392,309102
850634,839725,981766,837941,919717
951344,345655,13778,667120,719767
98521,924641,281669,332936,889755
472986,64867,576207,957300,451535
499292,674478,275003,290821,715963
385342,432738,964964,420411,163857
559794,273201,459850,903952,634147
463761,448891,907422,136859,438399
703375,704086,184370,224298,424195
519316,489541,416697,85300,318725
684655,495600,555996,969517,248545
692948,382962,822483,84154,209538
384619,481453,594648,105446,535475
707575,210997,898879,872840,719930
642181,720328,35890,79524,102575
633574,492995,897577,273911,630489
789499,664277,753445,767227,25740
404459,965990,637148,340823,833518
690138,244768,341287,167392,109359
565717,108314,447143,115388,995173
954692,56997,321195,431280,345530
92248,832563,228065,145274,390731
793750,217243,758445,95921,650739
856599,908657,356627,876726,451459
504757,19416,874834,929826,923017
225681,591967,753346,14886,860315
963820,666643,984405,695401,255948
526944,574146,597737,483501,629548
619993,178545,344740,177799,476698
697560,178886,963317,855703,687619
608860,796127,915227,740224,113394
510893,141882,33313,662140,255557
631449,575642,809647,537864,738221
93337,508760,761568,654266,27429
131102,881417,540182,409733,99697
213969,381699,179927,252717,17594
745252,829589,346714,449283,487646
629196,973891,549190,392663,729118
262482,186008,26114,360890,712401
884397,400852,416859,229863,758807
13702,669022,862909,315280,33091
750362,867243,718885,977687,107380
130173,10990,557294,941497,875173
485864,648157,303467,768797,181590
34338,939722,198871,417150,806781
257201,236760,761812,509858,861650
362627,504191,368296,475041,157980
436295,137839,860812,251647,521604
179921,164667,579466,281685,137256
267704,925272,231363,77613,954301
115476,207580,494163,992100,391753
691127,77833,136333,780896,271183
246839,309573,121669,387189,860191
220228,123293,984201,417421,831918
750401,309262,557385,494844,100750
790072,837774,993566,398907,883009
618982,377196,280609,929119,258595
885168,249800,908640,424805,133926
26671,334831,312717,316383,822275
714680,863866,97710,522429,769203
854033,510362,950320,863482,545377
201235,460917,785703,537094,552608
232300,429174,60506,289118,376273
372976,313995,655778,459117,368365
497150,338491,474181,562462,478693
854180,589401,572851,460577,971118
740306,160710,758103,186018,838051
824504,789193,513645,557773,538620
241463,712384,813866,156747,108021
771527,124143,392117,308543,381272
159218,800992,976083,736695,178283
444139,220609,157881,647809,721994
37948,246325,279768,667232,890027
781632,807693,294589,449948,739771
793060,726691,425754,745399,858450
27064,315681,944504,872681,108474
409784,110393,380294,817082,926914
307725,950365,735743,45549,458782
906222,959740,313491,34213,141519
320083,129302,107351,802052,963571
984022,573744,65701,227414,69597
707225,667609,302233,408089,53411
967220,588017,189913,210453,751498
997718,500366,464794,531861,787999
938886,303106,809021,335654,867501
327507,722690,855041,919174,307559
687873,371404,100606,495047,943493
73836,599940,369133,758605,757452
594671,987735,358177,434738,24325
494543,599252,813325,417674,937344
545662,793917,474405,679128,683119
459344,341590,772145,595403,625220
509823,976993,127453,501957,718563
962234,63943,407136,483175,169026
944237,853706,749766,507940,924786
686259,843379,745033,47299,900646
349635,432212,964388,746038,316030
