OK,PK,LN,SK,DT
775073,617571,12957,795388,547742
800314,64802,351687,983879,562213
37930,393325,820351,258173,683717
32489,663465,17831,671902,307254
447557,255715,99544,220080,211942
605819,988305,561011,541226,313296
369400,700233,507566,257288,600948
609477,26787,705701,538238,961288
988362,745984,279674,923303,292368
529299,224787,499999,676100,950294
53534,578382,628680,546549,749705
706289,71218,141596,181560,233769
60418,171902,465192,540440,982443
929265,722010,682460,460056,553206
857141,508694,250740,262638,417590
57914,352250,138618,366866,54265
113536,768610,875545,32155,826603
442447,919583,989600,993957,548619
901278,393599,656142,205435,12811
670336,395731,701273,700011,111276
979582,936222,787069,901243,946606
630504,24921,510464,175328,779189
314277,62523,385356,539337,789960
428086,160565,804572,436874,623676
327942,398309,75339,890457,284721
720388,604066,540168,362297,485995
78819,890537,111497,821965,572810
728756,89838,286424,232299,951465
220255,649314,889807,15493,108131
630600,42862,512451,987657,559171
417877,235929,677985,658973,419658
420456,651404,275344,649824,902473
109702,335107,112936,821480,436006
143863,449899,953877,684037,263546
590385,293677,646344,754959,432329
99810,906712,844028,565830,517656
524049,686112,511873,198744,674698
211618,956656,331204,330963,807787
222865,958763,153985,439556,795644
668401,962154,519568,599632,408300
107022,455548,876378,804160,674656
562476,264833,591159,503730,497634
588117,916590,278962,48819,970042
613915,72230,865155,516307,436113
794331,883561,259316,827145,285660
703876,70876,903732,505139,624111
750319,704076,467961,940620,639599
712611,750206,801007,980389,704908
530640,127527,417154,169867,166688
387039,332456,61617,841324,210628
881345,617939,698382,677863,968047
180199,478300,68997,306901,335793
12652,917637,861004,317618,706350
569667,317726,393317,778368,221221
783670,166344,590358,834316,581344
101399,438891,586940,459587,631584
447706,571480,961624,922400,598417
30015,636292,793554,580525,830927
416654,125671,412052,552307,332609
62482,56677,602699,89619,620007
669177,303367,987950,760147,873532
523905,945246,58055,480746,219993
949947,29251,901661,45252,31730
995646,183812,416412,668640,894523
466514,828666,862727,172065,412114
345717,847258,168503,919830,221284
682767,265607,769120,74920,460240
685940,866008,857951,45089,939219
219055,932733,979181,468106,997623
90033,563100,53285,400496,285950
469909,943389,645577,544120,868044
761833,424892,70850,615194,691408
881479,93852,924292,279299,622735
656032,851881,937863,586033,327177
254600,188674,389891,990588,792492
847412,431016,970098,718537,914907
555223,971053,722189,568497,819132
465771,921249,631919,98708,353862
945040,984896,30442,366336,361126
24112,644863,464154,414388,102057
330835,266486,365279,466222,851811
828166,166407,487420,398581,971905
591880,286560,249880,555746,820993
975275,415900,259125,393606,104758
115259,501232,232682,209534,710036
349939,498420,438326,654827,604743
481514,210054,784046,147799,600734
619017,696975,300770,997257,321411
669720,770723,567244,976258,727917
546090,446765,306979,608437,727023
678217,488901,196310,92601,255759
304381,967930,179595,145573,455968
508607,688054,257105,592315,298956
658490,600452,219059,666094,210379
516807,759572,351040,186043,296216
483008,912715,949657,986851,322055
393445,615497,799058,386345,158729
229413,65842,618797,485059,445279
155326,890220,600656,682070,759515
920561,769186,874653,254990,11192
576502,819733,37737,149675,368931
857003,799917,557945,435570,624792
762919,766187,180715,311296,332173
710362,544941,325543,440349,406535
958815,368460,175392,364348,258512
779512,324673,809751,383411,827474
189858,469168,861810,906307,352903
234882,67078,868275,397085,716292
194053,392920,362318,181042,447158
593975,420368,117914,382397,817269
278872,770936,257499,758128,34544
859970,961687,706040,893346,892504
438854,780490,350313,44509,483236
553526,273840,247551,772946,664303
43996,221641,345579,474922,427755
431974,269484,121907,819210,928094
824672,581919,868598,764290,950155
946190,21724,846648,365588,972321
38247,621133,103809,567700,834938
885461,967714,887971,130477,927696
982325,290143,221546,63810,613149
113056,419742,37115,655785,184595
366548,708902,911152,736102,853636
852716,315912,869131,33465,644349
508456,627624,587152,63193,895892
395684,722771,10610,303316,576076
540114,362064,673229,782529,553832
347663,880709,621921,922517,518999
835626,763401,730930,188893,804512
325491,865027,909402,746049,236919
252425,182389,236219,836156,453093
423606,680381,307684,337630,340326
50777,456621,773487,526445,420159
743540,300912,96028,779311,869138
951134,20050,608403,194210,931430
39324,993005,625310,523342,495606
262934,275318,335635,677530,267425
776469,656069,501535,394066,445456
488288,983496,861525,702462,509712
150074,520866,758508,177301,579545
782699,258816,300692,226003,734211
356679,654268,736675,157626,545899
18363,188488,837056,204115,505651
335654,961622,155462,552701,760148
442828,180412,520717,179005,759609
427869,370025,426246,444278,281940
801093,777795,476528,624240,565102
976418,944764,690532,457895,333163
575221,273519,208602,729022,646047
30715,585670,384837,313288,978109
649317,191309,238478,741587,532036
360346,860444,101258,669782,518976
601272,471114,131432,839906,806899
195490,14697,940674,933202,422618
209258,230668,300388,451849,360653
580269,370728,923077,22476,225339
458453,615416,712030,989259,974803
291170,504404,34276,510463,682296
967240,897012,41917,431394,798133
