OK,PK,LN,SK,DT
291229,479750,448117,859378,171271
697399,44956,703298,349254,830449
925662,648622,988863,427558,609216
85833,280334,207658,787779,870313
525205,389908,288193,952665,772490
595141,839553,603411,805081,56435
61806,790172,902877,323188,704788
301470,923316,822099,627664,277393
821291,400675,610449,242510,546040
476521,788006,663699,228911,175549
832611,689064,777786,350233,775892
887071,878709,918415,638943,135437
442165,728516,381161,936671,315675
972234,802325,641890,795180,285372
790638,56726,740687,590937,545195
485452,221709,971913,285281,447120
445465,493535,256428,429560,656093
106122,166740,946215,129068,999079
959074,339294,93241,581650,801967
486171,171454,592814,213195,420985
374079,82694,509591,877256,747117
797308,747075,939543,87923,605488
435071,113523,965989,17018,453477
111013,164701,606370,266425,895362
181377,410198,973117,31300,545598
502395,335689,521496,357750,710444
862905,509315,326633,818031,549092
790352,153827,466935,563552,676034
955389,715184,923139,677690,906651
441773,173532,746899,496565,21775
939542,585656,635761,558552,710294
599305,610221,50645,425286,941549
391524,827933,112729,88363,727024
651637,826145,544898,83039,25847
870595,667630,650085,996473,531695
882737,209837,625180,676442,683506
456441,500701,782582,800202,875721
784818,563949,178469,269814,945357
850304,473916,166420,543927,193746
90868,702753,735707,836006,784559
852318,288634,124981,580094,710718
822471,304002,58466,969945,466180
698542,529072,170651,115254,85915
76497,845285,242972,360785,995872
622502,509443,835716,44673,627020
496610,569741,964040,758665,78686
893703,984391,673060,606906,884265
798011,966041,158011,156532,481020
779124,770715,135505,79590,633479
118324,987204,695505,767031,596346
307119,687468,620947,163594,462181
626046,819959,971751,995497,39995
549788,307202,699022,295093,143564
890027,229121,446565,600940,279820
144238,541026,398287,326864,140925
224603,355025,651575,64409,422927
618591,727509,109352,964027,947950
147802,293028,477510,906807,536285
427983,683848,970207,803766,554574
665311,966694,270886,134658,14637
12675,989831,992214,468734,33672
110234,404805,501016,243473,804576
269595,252175,872282,122105,903005
394424,113235,736148,786604,595541
909710,964629,120582,72651,996006
422570,452433,375233,303500,240426
108896,881534,949571,925447,667442
681143,721965,262606,737202,82310
737652,176924,772392,895407,835652
52773,991105,689345,510342,777808
964173,801705,738113,107493,89466
938188,840991,186617,305645,892074
234783,819998,808057,856320,506855
682849,758878,806287,849596,802537
741965,276077,810001,44215,647582
269136,751707,446392,275955,243396
171348,379611,587787,498168,284728
521792,504437,402717,663277,955408
744947,316486,760173,901503,111877
122140,709586,82252,582174,547211
251086,734551,153112,973732,889083
511729,277885,559129,358164,429435
826608,326712,312100,645015,651487
948048,789402,147971,242308,152738
233847,510183,83778,360002,997290
688154,168493,746569,833361,718704
759817,503883,677183,795052,603442
765698,429465,169949,934871,411223
532996,621599,765426,523162,300122
766542,725543,314218,14423,929142
549312,585496,627815,420683,811212
234230,111961,96346,474789,420073
367952,299436,928273,700128,238771
845129,747584,618494,300509,61622
368774,762536,311185,252511,638606
943683,884098,645127,653166,87674
870507,204307,360860,438624,168559
223815,759389,269302,687115,170899
135604,102065,537612,204364,875423
621975,72518,115934,645533,337570
558821,325864,486282,382589,602863
608362,190356,728250,474871,693636
688046,616575,624369,586824,953485
529442,578198,116788,179361,903119
474785,656609,260822,507363,738393
786405,491003,67583,292504,195576
72721,64272,689961,832237,819293
464264,948760,264271,812738,303895
915286,592370,18258,985631,681916
86292,123156,245973,457346,180806
243753,455593,677037,955765,611929
196229,424648,112161,226345,11004
625961,90661,875104,274231,508902
331024,404589,421010,962021,196535
423841,573072,707998,913584,401655
264754,868266,891921,169735,574317
577906,471684,731217,204534,356784
644415,485406,913369,668088,739401
605747,878580,269600,238492,104684
398463,213980,681214,608443,468587
191245,492356,501353,289309,959310
651083,76099,398522,102693,891231
686646,188724,56164,247441,64725
350901,785543,467200,728452,270186
630280,182300,766618,208532,264978
195112,225258,906583,213536,572521
