OK,PK,LN,SK,DT
500235,201124,431791,59339,484292
867791,295617,331237,295094,462686
516124,345819,902186,309929,337530
522819,264356,585175,531974,28709
292751,97632,504058,640861,736477
620879,147575,397703,696602,791552
84003,792700,107788,712947,19926
776925,417739,668798,965186,49665
739451,663901,92503,152507,110493
914260,789071,386338,747558,737507
440242,924295,434717,658080,267225
210473,57752,974749,947715,913572
668407,73533,789050,72225,258367
860506,663163,824380,156641,921766
464541,259403,774462,93604,563352
211273,221675,530519,178429,668141
792926,548470,64856,138433,289618
144531,169186,606105,556678,70929
626295,183436,687910,659430,251033
731767,936206,130168,784897,537924
42925,119546,512181,189494,321713
197910,129744,414309,743449,862077
936955,980931,839235,18358,129069
19638,502296,140247,648060,675038
980461,363549,43665,56374,447310
276961,143380,595951,770725,98978
293607,491501,98640,254866,154294
254240,642341,497132,557729,934374
935656,312334,412157,380100,809501
760353,941611,426501,95550,37233
515911,194453,738533,246195,28010
53918,102146,185723,15356,585798
795426,853405,166514,169530,722394
621024,210946,64009,725123,214503
921237,903695,769089,407329,326450
828374,256118,238385,380571,157536
162342,359609,246867,652079,755799
913867,131914,887070,10409,440997
493209,280064,910655,171065,653497
740448,148998,313710,988600,604649
296156,235402,74407,110330,702567
344388,668636,57177,939024,319646
841842,756147,710222,50044,181198
657327,870337,815360,540407,385420
180046,29508,733453,626961,918362
375581,847550,613679,125164,399852
908932,394879,156635,75477,623902
93161,346095,91548,216614,456400
293155,922056,75019,616038,14475
756119,213882,294931,678515,638106
662343,167836,718126,304409,433318
408798,720528,737433,976686,903874
596180,731823,817945,782985,207376
234315,47221,72365,252598,553373
915859,496850,491428,134186,486292
356379,481287,651001,896509,429777
938542,351114,285312,544310,248264
440080,109575,973719,302411,474618
229327,294980,591053,34996,341916
252212,336968,681207,928942,666920
637022,198642,450227,263350,619910
581179,977543,625853,823605,609033
743349,654564,390862,702190,57831
769657,788130,590584,132763,373587
346059,669824,575144,483324,391888
521277,352249,266224,289006,289892
279145,214383,752808,30804,444660
530102,25900,683306,78859,13918
493121,931809,515602,952651,642916
179771,901422,329988,661513,58260
270979,247913,87594,596848,94788
685938,541304,884713,479842,740714
966151,17437,240485,819742,935386
946016,538214,871099,625526,56623
814879,539419,178747,60297,269010
56589,377989,203587,66238,301992
722956,890720,606725,631003,432510
201833,246778,724854,261184,425531
154628,25041,353277,149252,515258
824560,126792,153994,166488,599899
852176,859066,841573,439028,755088
434020,763043,46659,488448,858086
121479,769181,419986,873264,481684
116168,145998,35640,359337,973876
615468,219461,279285,671082,497176
25753,109201,824267,667782,471969
894522,667013,207668,939164,413147
840056,342181,598426,591976,958675
760785,822860,140004,918501,364537
607491,384707,980734,319466,298832
588299,722874,555516,838958,595151
639595,222111,822808,491651,871908
407350,930367,981811,877474,629676
278750,705008,60350,878393,622055
259452,231606,730971,661063,577860
275064,808357,329601,423940,119095
122666,109192,61565,432319,651914
919152,707804,513336,401853,748195
996590,159789,294644,675615,819254
571421,206654,945133,603372,13732
372232,731949,842265,832141,800403
342337,557336,755345,819182,427136
616130,772516,922018,913676,910499
738251,175358,540147,931471,493589
113602,331030,477895,907903,960052
562152,524928,336059,873292,35959
740678,220023,467964,62177,921914
521012,512862,606238,897636,546961
948598,624576,791891,592271,745554
957839,516789,932035,601865,696665
85062,372394,494860,24949,683007
219492,239871,460360,824173,951409
681497,344195,538971,424891,782575
695574,478694,654068,456813,332249
197238,529803,650808,315391,282793
48760,397463,618180,526279,361438
41841,223757,748406,290443,104434
501212,374753,288079,336969,750888
733412,190136,411902,336657,708463
100778,952481,167906,463574,633604
257440,318173,896338,729647,143855
379927,819570,601843,620624,899076
296663,782684,171046,627235,989725
944238,389435,37240,960006,384692
370302,850730,680150,654414,872392
636049,403624,761303,665224,762161
891491,287853,128611,837673,276144
921349,809977,19539,792603,734922
965387,508120,649038,524735,28656
169894,243753,849567,155625,361379
574779,778171,387889,911239,134766
233553,378605,888736,422654,249747
152178,746375,374479,453003,793461
592763,407561,166067,673187,711464
333173,17903,132385,632809,595430
205476,517978,68279,786078,370649
97193,142701,754564,968765,322034
309248,648313,314783,213192,275354
168627,582039,340941,428489,138207
893338,894691,734285,560969,53732
773339,361684,534215,422754,500385
835590,122445,379678,118858,376622
780968,405899,480828,87843,751974
408706,789790,244752,753276,286854
389096,378423,301946,167829,625633
214674,748042,676684,730487,40494
420187,357450,901523,255035,758378
72847,911391,760003,88815,525079
626742,797592,191869,966643,545907
221915,48716,502789,500164,848496
761992,444148,463888,530567,923637
659524,766023,533964,207537,942835
158045,156882,636084,22353,373485
768865,482327,583902,653710,615476
828717,660111,239095,416192,782859
379417,360733,306548,988566,347794
876931,933932,361234,976544,504282
326763,85248,442861,104557,357271
106165,390748,171682,807531,365600
679558,919779,208733,779776,874095
925566,128013,44122,956619,753766
715402,742523,628079,482688,567544
708831,777202,533742,40070,358808
946302,134834,209930,241420,741944
