OK,PK,LN,SK,DT
736121,490266,445588,53766,814432
210892,816636,530030,627190,413340
75577,847216,41199,762067,828216
551765,423039,102410,274110,836533
692565,614580,863294,219044,356785
236177,810560,788095,818248,743756
869118,279797,974175,159774,753443
166884,802685,177178,999887,10818
946881,619559,347320,392279,286870
223997,121784,483126,563760,236325
529377,141568,83107,945530,188667
842590,361120,350042,471197,577409
713711,734904,74249,730728,857425
514089,723267,937416,990291,726652
354364,395835,848833,633682,935515
612768,275210,356128,990180,217355
853888,873109,379416,203187,936414
847578,815986,69220,736970,453786
303936,250189,775350,330453,684708
219978,365253,818708,933409,440397
912226,709062,104733,746347,846221
231827,990987,43804,699334,140899
751480,647641,276762,630081,719093
263462,218857,683775,198079,17772
409829,374122,318608,572603,925428
858212,891177,25121,920427,526224
225565,500965,270101,130086,393805
573851,861848,162015,614124,823240
518436,558250,203370,759521,814413
142457,108040,29794,951808,552975
31187,44558,579348,409465,609451
388549,748820,949646,953743,539619
329088,569849,448589,386753,926785
951299,72359,435482,223370,569839
906426,406788,481164,725031,583032
934045,799690,456087,243600,452527
539970,558561,871809,918430,684014
174154,363707,387229,644120,61859
526692,17674,905474,899266,64814
30550,421225,652939,799239,678874
859382,305714,788829,623824,858253
763615,881830,702453,90847,696376
870681,515836,227946,892789,289236
305208,111570,618707,192619,413734
684102,60112,988654,939599,245833
436576,734488,161602,310235,529070
865395,738966,738888,495292,314123
776791,205988,267111,254818,249562
898517,601175,123320,453466,113821
216802,303208,638112,326268,778750
660258,150815,551506,309430,390254
798750,657461,344248,160607,279662
559938,303686,868587,53807,664676
852797,430372,927012,347923,916491
578405,447082,686713,706726,916186
163755,890334,181624,865656,202611
638458,261980,148351,995159,459784
282642,440463,54067,178718,643792
908104,488366,852553,138701,784352
244846,950721,161430,449202,34799
33501,629208,980693,584136,428181
915384,829470,691835,194807,618184
83226,793658,159370,284929,915106
832296,932849,911807,186554,771849
185430,110745,228723,661697,539264
378427,230821,771086,362811,483272
611183,189765,546615,175178,454810
426639,45801,166923,505390,369199
437879,583376,904263,18267,789044
77067,911682,226201,579964,852060
843865,199222,431230,736607,177602
418577,478588,999473,215682,290916
427319,18727,529923,439210,961692
181939,419969,365696,29268,171840
106254,994784,232201,446877,333962
995327,815158,401611,931283,84620
60643,40733,879164,43715,773916
680153,839091,658208,662382,500551
37133,884138,353790,265856,864174
148542,208224,947104,241318,482008
490520,595207,45921,113707,964290
916870,335158,602052,395764,554320
360346,94326,841618,538397,706384
526112,220151,25457,651641,391121
728526,488187,836167,835552,851585
587508,755812,121820,335010,336357
449530,77209,196134,94111,643576
602438,381121,749182,596956,446993
467152,567734,640542,12499,685330
655280,12775,306763,685372,703427
320471,736229,126084,454365,341646
891485,199722,818674,348388,489916
690841,803084,511615,251924,583385
375544,325569,706685,172761,220512
596505,33253,615068,362465,295992
389948,892594,310953,309524,571194
612155,113351,42781,293358,916717
21093,105537,721496,839502,162193
765842,148164,946540,270160,621119
323657,87166,125641,410284,34917
284536,871376,853003,374711,33364
794204,172950,683142,852934,675368
707681,763652,756201,667504,636303
561018,37835,64576,567473,246726
955628,701343,284370,129685,210464
843623,469276,686786,445772,465349
43151,46905,361885,635755,917159
108737,318958,208862,936060,777804
786379,721917,117970,22510,657907
838518,802198,116841,517385,92079
227830,697717,798099,495349,639127
390627,621506,313945,495734,74021
962589,997623,393148,698932,514577
293735,485244,866042,940198,920641
590155,611915,920264,96037,439018
342811,233269,842043,151297,423366
163116,171932,680100,53924,756340
312245,652289,304146,780463,125923
183934,338133,110593,867773,242904
534871,754963,674868,952405,235961
425319,256196,58128,933844,305500
241914,190097,376171,133588,628093
530737,411843,980420,573591,167316
799982,599407,867705,948084,685327
193574,793633,511990,274745,941060
582024,500962,817937,995320,761303
987040,209237,431994,381083,861543
270272,508475,388080,126961,117749
460931,913400,689838,671989,476430
476591,307312,490273,267904,975432
867764,795615,433983,392974,199375
377960,490468,699101,235180,995059
491802,957057,698832,213424,835948
127142,664734,827658,49635,745330
395923,718660,349539,940965,30763
922928,245068,604173,869225,687839
736503,390475,509937,610343,453266
219221,878727,222738,286351,697302
752624,235921,750969,309404,411951
671334,267469,390197,523984,154330
628217,261865,526716,797909,452430
486320,932762,206201,808100,731133
535775,951692,654581,490644,653496
581930,924454,250307,735453,147147
969778,262965,180938,728041,370870
721431,898689,676331,174812,782927
364163,600775,122145,800304,686119
247169,545850,328574,607810,501744
102892,473697,788293,207151,689069
475298,811397,238655,157799,420301
872366,797032,35333,492827,659133
179667,398321,231453,548335,176755
272169,247348,723831,704684,517322
715342,236462,232539,29893,148981
555759,378668,37325,108230,321170
603439,198984,457664,314114,614957
310444,535315,846001,764520,834304
627280,44663,986153,61763,262216
287977,57596,642534,233100,997417
839262,19568,66169,127315,287356
471223,632846,312596,112512,331986
538964,332338,484646,35006,873617
632504,41082,848727,23358,845756
898647,816856,838159,402167,262862
678289,958708,231608,511484,461784
471590,467992,309906,146475,23838
78930,991495,923907,772356,283323
92901,220544,28921,614021,947545
558532,777147,403205,350760,526227
649684,826845,837328,226317,356841
