OK,PK,LN,SK,DT
756449,658784,395345,835809,887398
842027,547356,271883,206357,940269
920576,553744,834047,574234,253723
414640,558309,79796,282858,415845
341337,869970,152512,278659,964975
15222,336969,905419,467517,190515
763069,541723,490510,841403,493630
389185,430782,414231,201419,213161
460815,604880,53194,100633,432110
578616,71587,247224,219787,622967
128990,482410,124564,987429,886587
304203,677098,411595,599888,581033
359422,566843,975362,486619,205102
191195,742864,242376,696905,640644
566363,808706,241283,682354,980905
310242,25147,131072,642888,38952
233236,280036,931924,109978,464256
713648,337423,491791,511852,894310
902345,820596,789868,640180,738431
984375,223106,920109,519733,696234
839764,921096,629862,729159,836615
250354,683316,16874,768840,401749
178275,164050,154301,612018,879678
507083,109313,970976,352638,389746
31891,353101,330202,360393,189465
150513,132545,186052,969599,204507
515830,601150,651137,829291,345364
77110,307006,941682,229495,458126
174335,556282,900089,646630,400558
411689,859373,263489,610551,616709
588426,841292,690628,652885,155168
534658,361779,943295,928872,230178
236190,22648,147272,578372,299411
725978,589894,587736,306703,367049
509662,973813,609209,242759,367947
235100,497825,726960,631342,951354
539529,139325,756329,99204,854513
598592,604035,266154,42059,326248
251692,543002,129520,630652,192282
311725,10804,822806,323884,76845
512344,18291,40199,405020,711825
378652,285869,37615,870024,420258
735450,895537,670146,803176,86028
484507,523884,40680,554460,482279
221588,409333,90102,125079,75653
100805,32007,357093,801261,291168
713923,865065,52383,928260,46949
586760,975963,883973,751482,803128
595645,18579,727526,312356,530305
343419,79607,526849,991021,792076
165574,88280,644354,446514,935605
905716,491821,669465,227442,998798
221180,163008,366207,427969,919264
429449,249549,486773,37337,352358
546019,564069,258967,745417,799635
656958,574859,42807,117338,207296
296220,114088,130662,236185,256102
395731,273371,828141,531224,282337
751295,410130,512361,548549,525604
420550,313817,416931,78438,145452
309308,78479,45887,997850,28899
873198,984492,508773,922604,271733
284002,364974,200809,452661,861029
568168,572401,548997,260845,357776
47987,266988,84571,673869,976259
623919,119745,60813,755209,707526
456161,599650,410531,487597,165196
11536,28550,962796,786340,198124
519118,468524,63785,713653,45528
527520,339735,492111,493833,626258
443918,331817,901932,190785,597550
805053,577218,748865,162138,633824
918249,987888,155128,49745,699162
258252,541115,156248,824984,114197
890355,302899,576394,251814,973169
206321,967120,94517,817262,938542
533125,796558,641300,107749,368565
203904,822329,391145,946702,340810
794738,306731,844849,811266,620710
674764,375917,773130,931784,874484
782412,230704,101332,490612,272418
923892,635797,152525,864658,370391
793939,808796,762163,153340,540220
585451,233862,890860,752751,797104
126688,389155,944221,592823,904694
292006,146483,231850,728779,345350
45711,785511,46822,394502,933300
168944,364953,237583,588223,497239
995390,555166,240519,413585,469510
671429,149152,247531,205445,358638
494020,47498,396860,773593,73932
92413,955728,179355,591876,533318
443415,916496,595608,358308,578560
498210,848161,647608,372774,153647
183126,596173,851145,262460,324458
798060,142205,977793,191639,657305
512806,757886,492046,976296,915261
748775,584598,761805,406866,969623
133667,520871,704400,440529,689052
436179,845245,572630,283484,224620
732524,926266,35607,274565,253994
371370,895845,293406,192319,287606
178684,259779,898026,614510,157451
521635,648371,153137,86511,428038
894798,257606,427976,429263,476379
692314,888221,473240,532320,969166
582041,370007,551603,955538,137013
999031,320954,578671,379097,770611
998432,528191,285083,898872,484267
786160,849580,75803,861762,106937
943107,831334,88434,117963,147161
531751,866746,168893,740624,536882
537531,26095,705629,162032,459167
262107,118191,659449,185798,10745
23501,175359,884168,583939,417689
211104,450270,91677,991678,742667
739830,176456,650793,278728,437126
435945,846763,75494,798373,947584
13445,577201,138341,93061,507582
181926,954102,124628,490930,978842
92774,151645,383137,185866,987615
57622,664763,842845,999568,518610
101385,443795,352977,343816,838953
941615,705769,972516,23345,440426
807977,534789,257573,865328,198423
293813,89979,31868,435642,790191
163129,768212,16717,127563,366955
453373,454651,653190,714814,118381
418975,869715,672382,54838,859421
963939,935190,703506,397442,563710
114566,195061,417124,545551,285188
406854,958646,497627,204619,484090
380949,841710,506673,345832,881293
532560,526260,946650,291834,112921
218326,308390,718960,498430,424353
115889,773721,748737,802274,952984
650688,100373,276545,771999,591871
599106,538192,449486,994573,684391
615133,482084,493067,66626,746036
729471,171588,236800,895892,582276
355788,729984,705928,114826,332119
207560,220212,638929,587283,645414
51633,414966,457993,16508,771669
554142,27037,749928,515495,424242
191413,960118,895568,529461,248883
260985,641171,294024,845336,571990
655928,212873,529311,804276,275365
715149,340077,796242,857748,134197
110955,185668,374547,27865,166535
46898,541749,405021,725583,834640
604441,853389,385135,771596,468739
201551,802859,799555,637767,899632
366313,586570,691301,155256,424867
92617,576815,215215,258075,572693
998291,424255,203501,456954,587098
322053,751210,841495,527088,561950
700069,19223,38858,414664,187981
745538,335750,193176,120562,997297
300084,375248,20564,955583,226530
917731,339223,522862,670153,523149
287819,14762,426398,294713,833100
380175,782714,314968,344764,938077
447120,769950,51948,909298,59231
75656,947433,97270,584441,907899
157026,807551,680348,541256,335669
567043,578602,548147,656712,192078
536930,134117,69837,430129,558556
685236,601756,963557,842861,750402
464991,884768,886314,387635,349120
537205,624397,863750,632151,414323
571534,447928,348932,540206,363653
294348,270304,439667,99681,836569
245108,510924,988118,671888,189805
949764,411942,195648,354300,780198
802103,404265,203846,591935,336435
452743,722485,223537,301291,656946
930182,341807,529872,317931,241064
532591,242031,559653,72591,877527
273551,581989,853763,967438,880781
205371,729762,570677,987124,401346
394146,715167,442071,618969,233475
418885,856330,986825,228378,778185
612184,152096,872853,21271,252263
913558,53709,268954,20525,773620
711542,724504,72055,95939,206885
402871,490758,520354,309675,273711
927347,889861,219118,767900,505421
739294,678967,79428,886598,907920
442445,52500,446934,867291,749263
154394,450289,982493,990785,869646
116767,156614,174698,919039,529082
129333,773268,163668,596877,997159
199301,149546,424332,916112,72096
658271,588731,635410,213112,398625
45246,339824,956595,51050,829193
337910,813359,734602,127211,470448
891940,582983,421389,839726,791544
383477,55616,772952,444270,581548
490562,177363,92512,882640,718547
526579,975167,206368,959280,985990
248388,944752,655327,516318,845795
732702,711995,930046,388040,829816
741604,585123,28530,512489,19529
580967,29296,14144,285230,60221
639361,667341,207404,769340,458658
721043,515457,726073,735213,287098
903663,698878,480560,729870,423957
417004,561813,483628,184141,462805
509691,243625,983959,883384,368061
347915,305961,537567,137593,732763
241928,750114,389236,175501,951515
523730,718707,358980,967018,477660
743334,70943,634075,457275,841195
526460,460288,13978,411489,703931
517313,643269,651961,806487,795583
817553,362869,139743,875425,845927
188265,907665,322710,53826,271983
112333,307911,842405,483408,14906
355148,263707,741654,626597,138830
652176,566202,563032,409312,222390
157981,477621,413296,725395,232224
289877,79676,718560,381743,930148
922980,459985,409926,519302,426928
539718,233567,401390,952258,125363
704311,829942,544872,906173,45381
741508,217162,17596,729867,621617
136900,438612,79390,244028,34380
990472,991505,407525,373205,536109
313378,513329,278357,732243,895800
782929,414109,24929,750890,528670
126707,71293,307033,910343,461109
714190,863464,565265,529266,327591
335546,350463,44085,251555,229743
22084,832741,937733,96160,961979
473639,324029,599238,876757,336547
259808,424559,525714,71177,479056
749858,72603,764192,128949,82973
296391,711158,331717,979133,465700
532829,623267,152465,429453,555110
22902,525369,757408,973116,280488
920571,884976,960270,93487,80571
920358,472730,341811,387589,445969
63373,440074,254121,709991,521486
795123,34587,765908,994957,453449
470489,412726,40231,824849,550385
916875,588711,358485,805623,635851
420678,131651,298148,206224,301203
600072,212914,376688,925777,577410
675761,240452,989909,153552,317802
104867,724530,275346,605812,849286
798587,233253,35739,213107,848299
855509,526396,236716,849158,867054
956314,107812,978937,380638,296680
959430,14206,491387,549068,425507
549914,290961,842990,831594,670112
697469,193583,159329,308602,364771
654247,373666,297090,607758,414279
257924,894385,736706,746127,686150
455062,293083,350505,665571,349309
178242,312713,373144,882690,888948
313761,913713,338160,517868,404229
952647,590871,432341,962071,76849
369708,858590,229344,133954,48497
608591,832289,349315,323513,38347
280433,857226,220713,828352,855243
784086,504350,114102,241194,208485
435391,684506,746708,333576,432149
467281,128743,34040,76005,884299
495716,890978,810134,201161,797045
187191,331707,855404,820651,782330
812225,405171,350854,573589,820786
636520,779646,446829,224621,707155
23971,160765,31545,25418,83346
175475,367457,614673,972949,329844
376105,589083,897642,241145,420600
743160,260321,796013,530034,316720
602995,479416,887920,587658,994970
942507,116021,738538,58479,860896
768274,446278,671413,917226,928848
773740,615556,753486,352547,40388
147342,157505,865309,256733,856267
542518,472800,167732,690087,459577
402844,201006,518251,239934,592096
729276,975795,920128,708495,453437
998780,429179,836176,565228,498178
573297,576734,182949,452660,232025
172637,531016,163764,363083,680810
886017,721173,625047,913754,165444
859447,788731,681761,675728,208826
823512,200740,740814,316386,50098
787278,225592,799622,798314,758724
788379,991572,773276,626986,851671
31317,29237,620866,186831,47657
904862,646377,771238,476304,872209
345756,541483,517056,609058,128446
550119,751894,253853,917193,747600
124947,975180,489500,604187,431162
758129,57767,284567,272266,546299
340794,979830,863116,136620,753904
47296,435896,727507,539290,295029
407936,560746,115534,994660,651706
966301,673459,841669,741432,430363
840873,464303,550462,347836,638194
70082,989197,34810,580185,947906
458149,614172,986435,351704,564235
423859,428221,872149,774790,508095
84631,414958,629933,415235,412397
596449,254566,89105,612695,22661
344490,824627,90379,670253,292451
312374,932454,886725,838830,66279
34231,349054,410697,149024,320864
284079,686454,953496,257083,266473
430143,916837,867609,373052,98601
378611,84909,573189,503389,608251
660031,473582,780817,536325,47081
835440,248207,68338,334919,498426
821924,508704,211776,563864,414990
274446,988479,659536,326037,582158
112681,244466,789821,905892,495164
987479,629306,380281,483662,223474
641856,506882,381641,936807,353881
254608,873570,583541,255848,98360
143866,911450,992289,982321,586288
975467,489936,415176,707295,464420
